id,name_in_english,name_in_spanish,countries,country_code,degree_of_endangerment,number_of_speakers,latitude,longitude
1022,South Italian,napolitano-calabrés,Italy,ITA,Vulnerable,7500000.0,40.9798,15.249
1023,Sicilian,siciliano,Italy,ITA,Vulnerable,5000000.0,37.4399,14.5019
383,Low Saxon,bajo sajón,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS",Vulnerable,4800000.0,53.4029,10.3601
335,Belarusian,bielorruso,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",Vulnerable,4000000.0,53.956,27.5756
382,Lombard,lombardo,"Italy, Switzerland","ITA, CHE",Definitely endangered,3500000.0,45.7215,9.3273
405,Romani,romaní,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE",Definitely endangered,3500000.0,46.3165,22.3681
2211,Yiddish (Israel),yiddish (Israel),Israel,ISR,Definitely endangered,3000000.0,32.0833,34.8333
1586,Gondi,gondí,India,IND,Vulnerable,2713790.0,19.5804,80.4418
1020,Limburgian-Ripuarian,limburgués-ripuarino,"Germany, Belgium, Netherlands","DEU, BEL, NLD",Vulnerable,2600000.0,50.7781,6.0864
1943,Quechua of Southern Bolivia,quechua boliviano meridional,Bolivia (Plurinational State of),BOL,Vulnerable,2300000.0,-18.0675,-65.7641
1565,Kumaoni,cumauní,"India, Nepal","IND, NPL",Vulnerable,2003783.0,29.4778,79.8486
755,Aymara,aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER",Vulnerable,2000000.0,-16.5835,-68.302
349,Emilian-Romagnol,emiliano,"Italy, San Marino","ITA, SMR",Definitely endangered,2000000.0,44.127,12.0739
399,Piedmontese,piamontés,Italy,ITA,Definitely endangered,2000000.0,45.2013,7.8662
1021,Venetan,veneciano,"Croatia, Italy, Slovenia","HRV, ITA, SVN",Vulnerable,2000000.0,45.4601,12.1948
1985,Zazaki,zaza,Turkey,TUR,Vulnerable,2000000.0,38.8824,40.4846
1591,Kurux (India),kuruj (India),India,IND,Vulnerable,1751489.0,22.1467,85.2758
2065,Tamajeq,tamacheq tahoua,Niger,NER,Vulnerable,1750000.0,17.2352,8.0859
1585,Tulu,tulú,India,IND,Vulnerable,1722768.0,12.0178,75.7067
1556,Kangdi,kangdi,India,IND,Definitely endangered,1700000.0,32.4356,76.1242
410,Scots,escocés,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,1500000.0,56.2189,-3.7683
1026,Torlak,torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB",Vulnerable,1500000.0,42.9644,22.1374
1476,West Flemish,flamenco occidental,"Belgium, France, Netherlands","BEL, FRA, NLD",Vulnerable,1500000.0,51.0275,3.0541
334,Bashkir,baskir,Russian Federation,RUS,Vulnerable,1379727.0,54.7309,55.9863
1067,Chechen,checheno,Russian Federation,RUS,Vulnerable,1331844.0,43.1971,45.7031
338,Chuvash,chuvacho,Russian Federation,RUS,Vulnerable,1325382.0,56.1394,47.2412
1227,Meithei,mitei,India,IND,Vulnerable,1250000.0,24.7667,93.8946
1114,Tamang,tamang,"India, Nepal","IND, NPL",Vulnerable,1196639.0,27.7365,85.6858
1013,Quechua of Cuzco,quechua cuzqueño,Peru,PER,Vulnerable,1115000.0,-13.4537,-72.0098
1024,Eastern Slovak,eslovaco oriental,"Slovakia, Ukraine","SVK, UKR",Vulnerable,1000000.0,48.8068,21.7968
377,Ligurian,ligur,"France, Italy, Monaco","FRA, ITA, MCO",Definitely endangered,1000000.0,44.5748,8.7011
407,Rusyn,rutenio,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",Vulnerable,1000000.0,48.4437,22.9394
1515,Talysh,talisí,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",Vulnerable,1000000.0,38.814,48.6804
1577,Kui,kui,India,IND,Vulnerable,916222.0,19.5908,83.9575
1231,Khasi,jasí,India,IND,Vulnerable,912000.0,25.691,91.8676
1229,Bodo,bodo,India,IND,Vulnerable,900000.0,26.7554,92.8674
337,Campidanese,sardo campidanés,Italy,ITA,Definitely endangered,900000.0,39.2991,8.9868
1803,K'iche' (Guatemala),quiché (Guatemala),Guatemala,GTM,Vulnerable,890596.0,15.0309,-91.1485
989,Quechua of Ayacucho,quechua de Ayacucho,Peru,PER,Definitely endangered,850000.0,-13.1276,-74.2071
1117,Newar,nevarí,Nepal,NPL,Definitely endangered,825458.0,27.6981,85.3198
2222,Mon,mon,"Myanmar, Thailand","MMR, THA",Vulnerable,800000.0,16.4666,97.7833
1523,Polesian,polesio,"Belarus, Poland, Ukraine","BRB, POL, UKR",Vulnerable,800000.0,51.8629,23.9501
701,Tamaceq,tamacheq tahoua,Mali,MLI,Definitely endangered,800000.0,16.7992,-3.0102
1069,Avar,avar,Russian Federation,RUS,Vulnerable,784840.0,42.4801,46.8017
1211,Mundari,mundarí,India,IND,Vulnerable,750000.0,22.3297,86.0449
425,Welsh,galés,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,750000.0,52.4459,-3.5485
1202,Angika,anga,"India, Nepal","IND, NPL",Vulnerable,740892.0,24.7451,85.3124
1827,Q'eqchi' (Guatemala),cachí (Guatemala),Guatemala,GTM,Vulnerable,716101.0,15.4707,-90.3722
398,Picard,picardo,"Belgium, France","BEL, FRA",Severely endangered,700000.0,50.2331,2.7905
1228,Kokborok,kok borok,"Bangladesh, India","BGD, IND",Vulnerable,695000.0,23.7752,91.6918
415,Basque,euskera,"Spain, France","ESP, FRA",Vulnerable,660000.0,43.133,-2.0764
1065,Kabard-Cherkes,kabardái,"Russian Federation, Turkey","RUS, TUR",Vulnerable,650000.0,43.7393,43.4289
1559,Mandeali,mandeali,India,IND,Definitely endangered,611930.0,31.4099,76.9921
353,Friulian,friulano,Italy,ITA,Definitely endangered,600000.0,46.1037,13.1396
997,Quechua of Ancash and Huánuco,quechua de Ancash y de Huánuco,Peru,PER,Definitely endangered,600000.0,-9.4598,-77.1789
1947,Walloon,valón,"Belgium, France, Luxembourg","BEL, FRA, LUX",Definitely endangered,600000.0,50.4575,4.8559
1091,Mising,mising,India,IND,Definitely endangered,550000.0,26.9612,94.0539
1066,Ossete,osético,"Georgia, Russian Federation","GEO, RUS",Vulnerable,550000.0,42.9564,44.4946
1230,Mizo,lushai,India,IND,Vulnerable,529000.0,22.9988,92.9223
1070,Dargwa,dargínico,Russian Federation,RUS,Vulnerable,503523.0,42.1145,47.4938
331,Aromanian,arrumano,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",Definitely endangered,500000.0,40.2292,21.1376
2485,Brahui,birahuí,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",Vulnerable,500000.0,29.0369,66.5826
375,Languedocian,languedociano,France,FRA,Severely endangered,500000.0,43.8899,2.5378
1072,Lezgian,lezguio,"Azerbaijan, Russian Federation","AZE, RUS",Vulnerable,500000.0,41.4921,48.0541
1558,Mahasui,paharí mahasu,India,IND,Definitely endangered,496024.0,31.2738,77.1295
1118,Magar,magarí,Nepal,NPL,Definitely endangered,489383.0,28.0816,83.4301
1822,Mam (Guatemala),mam (Guatemala),Guatemala,GTM,Vulnerable,477717.0,14.9305,-91.9078
418,Udmurt,votiaco,Russian Federation,RUS,Definitely endangered,463837.0,57.2315,52.8662
1506,Huasteca Náhuatl,nahua de la Huasteca,Mexico,MEX,Vulnerable,463183.0,21.3835,-98.9902
1074,Kumyk,kumyko,Russian Federation,RUS,Vulnerable,458121.0,43.397,46.9775
508,Yakut,yakuto,Russian Federation,RUS,Vulnerable,456288.0,62.3496,130.8691
1801,Kaqchikel (Guatemala),cachiquel (Guatemala),Guatemala,GTM,Vulnerable,444954.0,14.7814,-90.7925
1165,Karbi,miquirés,India,IND,Vulnerable,420000.0,26.2934,93.2299
347,Eastern Mari,marí oriental,Russian Federation,RUS,Definitely endangered,414211.0,56.632,47.8784
1068,Ingush,inguso,Russian Federation,RUS,Vulnerable,405343.0,43.145,45.1043
350,Erzya,mordovo erzya,Russian Federation,RUS,Definitely endangered,400000.0,54.1302,45.4394
1212,Ho,ho,India,IND,Vulnerable,400000.0,21.637,86.4404
2165,Judezmo (Israel),sefardí (Israel),Israel,ISR,Severely endangered,400000.0,32.0872,34.7737
534,Lalo,lalo,China,CHN,Vulnerable,400000.0,25.383,99.9426
378,Limousin,lemosín,France,FRA,Severely endangered,400000.0,46.0579,1.8017
381,Logudorese,sardo logudorés,Italy,ITA,Definitely endangered,400000.0,40.1116,9.1845
626,Mapuche (Chile),mapuche (Chile),Chile,CHL,Definitely endangered,400000.0,-38.5653,-73.081
1503,Central Náhuatl,nahua central,Mexico,MEX,Vulnerable,395581.0,19.191,-99.0236
424,Moselle Franconian,franconio del Mosela,"Germany, Belgium, France, Luxembourg","DEU, BEL, FRA, LUX",Vulnerable,390000.0,49.6071,6.1248
964,Bantawa,bantawa,Nepal,NPL,Vulnerable,371056.0,27.0994,87.0048
1424,Santa,santa,China,CHN,Vulnerable,360000.0,35.5411,102.7935
1057,Mingrelian,mingrelio,Georgia,GEO,Definitely endangered,350000.0,42.4599,41.7205
426,West Frisian,frisón occidental,Netherlands,NLD,Vulnerable,350000.0,53.1006,5.6579
1113,Gurung,gurung,Nepal,NPL,Definitely endangered,338925.0,28.275,84.1782
295,Guajiro,guajiro,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Vulnerable,318500.0,11.8673,-71.9824
1075,Karachay-Balkar,karachay-balkar,Russian Federation,RUS,Vulnerable,302748.0,44.2137,42.8466
1064,Adyge,adiga,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey","IRQ, ISR, JOR, MKD, RUS, SYR, TUR",Vulnerable,300000.0,44.9181,39.7485
469,Buryat (Trans-Baikal),buriato (transbaikálico),Russian Federation,RUS,Definitely endangered,300000.0,50.8336,109.5117
1574,Kurru,yerukala,India,IND,Definitely endangered,300000.0,16.6151,81.6284
1578,Kuvi,kuvi,India,IND,Definitely endangered,300000.0,18.9478,83.5839
1028,Limbu,limbu,"India, Nepal","IND, NPL",Definitely endangered,300000.0,27.096,87.7356
2452,Moroccan Judeo-Arabic (Israel),judeo-árabe marroquí (Israel),Israel,ISR,Definitely endangered,300000.0,32.0476,34.7552
401,Plautdietsch,bajo alemán,Ukraine,UKR,Definitely endangered,300000.0,47.0738,35.5545
1078,Pontic Greek,póntico,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine","ARM, GEO, GRC, RUS, TUR, UKR",Definitely endangered,300000.0,40.847,40.0149
1935,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",quichua (sierra central),Ecuador,ECU,Definitely endangered,300000.0,-1.8673,-78.9257
1479,Waxiang,vasianhuá,China,CHN,Vulnerable,300000.0,28.5652,110.3576
1434,Oyrat,oirato,"China, Kyrgyzstan, Mongolia","CHN, KGZ, MNG",Definitely endangered,280000.0,46.195,88.7255
1563,Garhwali,garhwali,India,IND,Vulnerable,279500.0,30.0976,79.1235
1380,Bade,badé,Nigeria,NGA,Vulnerable,250000.0,12.801,11.1181
336,Breton,bretón,France,FRA,Severely endangered,250000.0,48.2246,-3.9331
352,Gascon,gascón,"Spain, France","ESP, FRA",Definitely endangered,250000.0,43.1811,-0.1428
2245,Phula (China),pula (China),China,CHN,Vulnerable,250000.0,22.6001,104.0004
1205,Sora,sora,India,IND,Vulnerable,250000.0,19.1244,83.2104
1119,Konyak,coñac,India,IND,Vulnerable,248000.0,26.9367,95.1745
1130,Ao,ao,India,IND,Vulnerable,243000.0,26.4361,94.6472
1234,Tuvan,tuva,"China, Mongolia, Russian Federation","CHN, MNG, RUS",Vulnerable,242754.0,51.7134,94.3945
1970,Nafusi,jabal nafusah,Libyan Arab Jamahiriya,LBY,Severely endangered,240000.0,32.6393,13.4252
2232,Suret,neo-arameo oriental,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey","ARM, IRN, IRQ, SYR, TUR",Definitely endangered,240000.0,36.4477,43.2971
1592,Malto,malto,India,IND,Definitely endangered,224926.0,23.7853,85.4736
1600,Khowar,jovaro,Pakistan,PAK,Vulnerable,222800.0,35.8667,71.7956
2481,Maiya,khili,Pakistan,PAK,Vulnerable,220000.0,35.3151,72.908
373,Komi,komi,Russian Federation,RUS,Definitely endangered,217316.0,62.3087,51.5917
365,Alpine Provençal,provenzal alpino,"France, Italy","FRA, ITA",Definitely endangered,200000.0,44.7467,6.6796
355,Gallo,gallo,France,FRA,Severely endangered,200000.0,47.931,-2.0544
1384,Gera,gera,Nigeria,NGA,Vulnerable,200000.0,10.5553,10.0579
1570,Irula,irula,India,IND,Vulnerable,200000.0,11.4369,76.5032
1204,Kharia,jariá,India,IND,Vulnerable,200000.0,21.8003,85.4956
847,Khorasani Turk,turco jorasaní,Iran (Islamic Republic of),IRN,Vulnerable,200000.0,36.6596,57.854
1210,Korku,koraku,India,IND,Vulnerable,200000.0,20.3034,80.2441
328,Moksha,mordovo moksha,Russian Federation,RUS,Definitely endangered,200000.0,54.1817,43.2751
7,Western Armenian (Middle East),armenio occidental (Oriente Medio),"Iraq, Lebanon, Syrian Arab Republic","IRQ, LBN, SYR",Definitely endangered,200000.0,33.884,35.5133
2225,Western Cham,chamo occidental,Cambodia,KHM,Vulnerable,200000.0,12.0333,105.4333
1258,Tshangla,changla,"Bhutan, China, India","BTN, CHN, IND",Vulnerable,193000.0,27.1275,91.9335
1161,Thado,chin tado,India,IND,Vulnerable,191000.0,24.4521,93.2354
389,Gagauz (Bessarabia),gagauso (Besarabia),"Republic of Moldova, Ukraine","MDA, UKR",Definitely endangered,180000.0,46.0922,28.7951
1557,Kului,paharí de Kullu,India,IND,Definitely endangered,170770.0,31.4403,77.1487
981,Adi,adi,"China, India","CHN, IND",Vulnerable,170000.0,28.3527,95.2294
1132,Lhota,lota,India,IND,Vulnerable,170000.0,26.1603,94.3725
977,Nyishi,nisi,India,IND,Vulnerable,170000.0,27.5277,93.0981
1898,Ngäbere (Panama),guaymí (Panamá),Panama,PAN,Vulnerable,169130.0,9.3395,-82.2428
1582,Kodagu,codagú,India,IND,Definitely endangered,166187.0,11.6952,75.9375
340,Corsican,corso,"France, Italy","FRA, ITA",Definitely endangered,160000.0,42.0819,9.0307
1253,Dzongkha,butanés,Bhutan,BTN,Vulnerable,160000.0,27.44,89.6731
368,Kalmyk,kalmiko,Russian Federation,RUS,Definitely endangered,153602.0,46.2026,45.8239
1071,Lak,laco,Russian Federation,RUS,Vulnerable,153373.0,42.0125,47.2521
332,Asturian-Leonese,astur-leonés,"Spain, Portugal","ESP, PRT",Definitely endangered,150000.0,42.7954,-5.6689
376,Latgalian,letón,"Latvia, Russian Federation","LVA, RUS",Vulnerable,150000.0,56.1822,27.1362
404,Provençal,provenzal,France,FRA,Severely endangered,150000.0,43.5485,6.1083
1174,Rabha,rabha,India,IND,Vulnerable,150000.0,25.9284,90.9777
1996,Tamzabit,tumzabí,Algeria,DZA,Vulnerable,150000.0,32.4816,3.6694
1128,Sherpa,sherpa,"China, India, Nepal","CHN, IND, NPL",Vulnerable,143693.0,27.739,86.839
1154,Tangkhul,tangkhul,India,IND,Vulnerable,142000.0,25.0358,94.4824
1826,Q'aanjob'al,canjobalés,Guatemala,GTM,Vulnerable,139830.0,15.6019,-91.4441
1569,Badaga,badaga,India,IND,Definitely endangered,134514.0,11.3642,76.5266
1140,Angami,angami,India,IND,Vulnerable,132000.0,25.7553,94.1308
1056,Laz,laz,"Georgia, Turkey","GEO, TUR",Definitely endangered,130000.0,41.2736,41.2646
1073,Tabasaran,tabasarano,Russian Federation,RUS,Vulnerable,128391.0,41.8081,47.9882
1553,Chambeali,chameali,India,IND,Definitely endangered,126589.0,32.9072,76.5307
1076,Abkhaz,abjaso,"Georgia, Russian Federation, Turkey","GEO, RUS, TUR",Vulnerable,125000.0,43.133,40.8471
1129,Phom,phom,India,IND,Vulnerable,123000.0,26.7799,94.9493
1588,Kolami,colami,India,IND,Definitely endangered,121855.0,20.5093,78.1787
784,Navajo,navajo,United States of America,USA,Vulnerable,120000.0,35.8044,-108.475
408,Sassarese,sasarés,Italy,ITA,Definitely endangered,120000.0,40.6139,8.6132
655,Tamahaq (Algeria),tamahaq (Argelia),Algeria,DZA,Vulnerable,120000.0,22.8369,5.5371
1590,Konda,conda-dora,India,IND,Definitely endangered,118597.0,18.2763,82.9385
916,Sierra Totonac,totonacano de Sierra,Mexico,MEX,Severely endangered,118367.0,20.2461,-97.6586
1564,Jaunsari,jaunsari,India,IND,Definitely endangered,114733.0,30.4859,78.0908
1167,Dimasa,dimasa,India,IND,Vulnerable,112000.0,24.7368,92.9003
1179,Ladakhi,ladakhi,"China, India","CHN, IND",Vulnerable,105000.0,34.0617,77.5909
1429,Salar,salar,China,CHN,Vulnerable,104503.0,36.2752,102.4584
1136,Simi,simí,India,IND,Vulnerable,104000.0,25.9777,94.5922
904,Phurhepecha,purépecha,Mexico,MEX,Vulnerable,102988.0,19.3111,-102.041
342,Crimean Tatar (Crimea),tártaro crimeano (Crimea),Ukraine,UKR,Severely endangered,100000.0,45.3212,34.3212
451,Dagur (Nonni),daguro (Nonni),China,CHN,Definitely endangered,100000.0,47.9163,124.1235
366,Francoprovençal,francoprovenzal,"France, Italy, Switzerland","FRA, ITA, CHE",Definitely endangered,100000.0,45.7828,6.9982
356,Gallurese,sardo galurés,Italy,ITA,Definitely endangered,100000.0,40.8802,9.4482
1754,Mapuche (Argentina),mapuche (Argentina),Argentina,ARG,Severely endangered,100000.0,-40.0791,-71.0156
1620,Mehri,mahri,"Oman, Yemen","OMN, YEM",Definitely endangered,100000.0,16.5993,52.8057
1891,Miskito (Nicaragua),misquito (Nicaragua),Nicaragua,NIC,Vulnerable,100000.0,12.4001,-83.7332
1233,Ordos,ordoso,China,CHN,Definitely endangered,100000.0,39.1641,108.1054
1944,Quechua of Northern Bolivia,quechua boliviano septentrional,Bolivia (Plurinational State of),BOL,Vulnerable,100000.0,-15.3649,-69.0518
96,Suba,suba,"Kenya, United Republic of Tanzania","KEN, TZA",Vulnerable,100000.0,-0.9942,34.519
1861,Garífuna (Honduras),garífuna (Honduras),Honduras,HND,Vulnerable,98000.0,15.6754,-88.1476
292,Embera (Colombia),embera  (Colombia),Colombia,COL,Vulnerable,95000.0,6.1624,-76.8383
1162,Kabui,kabui,India,IND,Vulnerable,95000.0,24.7218,93.6584
760,Shughni,chugní,"Tajikistan, Afghanistan","TJK, AFG",Vulnerable,95000.0,37.4879,71.5374
397,Permyak,permiaco,Russian Federation,RUS,Definitely endangered,94328.0,59.204,54.5361
1825,Poqomchi',Poqomchí,Guatemala,GTM,Vulnerable,92941.0,15.3757,-90.4288
1135,Yimchungru,yimchungru,India,IND,Vulnerable,92000.0,25.9629,94.9713
669,Nogay (Caucasus),nogái (Cáucaso),Russian Federation,RUS,Definitely endangered,90020.0,43.8028,46.2744
700,Heiban,heibán,Sudan,SDN,Vulnerable,90000.0,10.8575,30.2371
1930,Quichua (Cañar and Azuay),quichua (Cañar y Azuay),Ecuador,ECU,Severely endangered,90000.0,-2.6577,-78.8378
932,Mezquital Otomí,otomí del valle de Mezquital,Mexico,MEX,Definitely endangered,88789.0,20.4831,-99.217
940,Eastern Mazahua,mazahua oriental,Mexico,MEX,Definitely endangered,88001.0,19.7129,-99.9515
1599,Burushaski,buruchaski,Pakistan,PAK,Vulnerable,87000.0,35.909,74.2153
928,Central Otomí,otomí central,Mexico,MEX,Definitely endangered,84593.0,19.4661,-99.5944
1141,Chokri,chokrí,India,IND,Vulnerable,84000.0,25.8691,94.7131
1133,Sangtam,sangtam,India,IND,Vulnerable,84000.0,26.6032,94.9603
1791,Ixil (Guatemala),ijilo (Guatemala),Guatemala,GTM,Vulnerable,83574.0,15.4849,-91.0358
1777,Achi',achí,Guatemala,GTM,Vulnerable,82640.0,15.0845,-90.4888
1686,Yem,yemsa,Ethiopia,ETH,Vulnerable,81613.0,7.6347,37.3205
1144,Mao,mao,India,IND,Vulnerable,81000.0,25.5027,94.2681
1347,Arbëresh,arberés,Italy,ITA,Definitely endangered,80000.0,40.9321,14.8645
1765,Lari,lari,Iran (Islamic Republic of),IRN,Definitely endangered,80000.0,27.8585,54.8547
641,Páez,páez,Colombia,COL,Definitely endangered,80000.0,2.8237,-76.3117
2303,Quechua of Santiago del Estero,quechua de Santiago del Estero,Argentina,ARG,Definitely endangered,80000.0,-26.7848,-63.6767
1058,Svan,svan,Georgia,GEO,Definitely endangered,80000.0,43.0207,42.3193
2236,Tai Daeng,taidaén,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",Vulnerable,80000.0,19.8833,104.6166
2163,Taznatit,taznatit,Algeria,DZA,Severely endangered,80000.0,29.3413,0.3955
2179,Razihi,razihi,Yemen,YEM,Definitely endangered,75000.0,16.8834,43.2655
1379,Wakhi,vakí,"China, Pakistan, Tajikistan, Afghanistan","CHN, PAK, TJK, AFG",Definitely endangered,75000.0,37.1603,74.9047
1568,Bishnupriya Manipuri Creole,manipurí,"Bangladesh, India","BGD, IND",Vulnerable,72899.0,24.297,92.4499
1713,Acheron,acheron,Sudan,SDN,Severely endangered,70000.0,10.809,30.2453
702,Maori,maorí,New Zealand,NZL,Vulnerable,70000.0,-38.4105,177.3632
2237,Tai Neua,tainuá,Lao People's Democratic Republic,LAO,Vulnerable,70000.0,20.5166,104.3166
1567,Bhadravahi,bhadri,"India, Pakistan","IND, PAK",Definitely endangered,66918.0,33.5413,76.333
1562,Kinnauri,kinaurí,India,IND,Definitely endangered,65097.0,31.541,78.3764
1330,Gallo-Sicilian,galo-siciliano,Italy,ITA,Definitely endangered,65000.0,38.0167,14.5994
1594,Kurux (Bangladesh),kuruj (Bangladesh),Bangladesh,BGD,Vulnerable,65000.0,25.8196,88.9672
1831,Tz'utujil,zutuguilés,Guatemala,GTM,Definitely endangered,63237.0,14.6394,-91.2301
2350,Chamorro,chamorro,Guam (U.S.A.),GUM,Vulnerable,62500.0,13.4323,144.7338
741,Ashaninka (Peru),asháninca,Peru,PER,Vulnerable,62468.0,-10.6929,-74.3444
1131,Chang,chang,India,IND,Vulnerable,62000.0,26.2934,94.9493
1897,Kuna (Panama),kuna (Panamá),Panama,PAN,Vulnerable,61703.0,9.5983,-79.6334
1554,Churahi,churahi,India,IND,Definitely endangered,61199.0,33.1835,76.5747
1155,Nruanghmei,rongmei,India,IND,Vulnerable,61000.0,24.9661,93.5375
1139,Rengma,rengma,India,IND,Vulnerable,61000.0,25.958,94.2462
1027,Faroese,faroés,Faroe Islands,FRO,Vulnerable,60000.0,62.0112,-6.7785
2439,Northern Tujia,tujia septentrional,China,CHN,Severely endangered,60000.0,28.828,109.5904
2480,Torwali,torvalí,Pakistan,PAK,Definitely endangered,60000.0,35.5833,72.5
1787,Chuj (Guatemala),chuj (Guatemala),Guatemala,GTM,Vulnerable,59048.0,15.8259,-91.4783
1186,Kachari,kachari,India,IND,Definitely endangered,59000.0,25.2844,93.2189
411,Scottish Gaelic,gaélico escocés,United Kingdom of Great Britain and Northern Ireland,GBR,Definitely endangered,58552.0,58.1011,-6.7675
1504,Sierra de Puebla Náhuatl,nahua de la sierra de Puebla,Mexico,MEX,Definitely endangered,57189.0,19.6223,-97.8149
643,Limonese Creole,criollo limonense,Costa Rica,CRI,Definitely endangered,55000.0,9.9916,-83.0316
370,Kashubian,casubio,Poland,POL,Severely endangered,53000.0,54.2267,18.1713
481,Khakas,jacaso,Russian Federation,RUS,Definitely endangered,52217.0,53.7746,90.3735
1587,Parji,duruwa,India,IND,Critically endangered,51216.0,18.5629,82.8039
1352,Arvanitika,arvanitika,Greece,GRC,Severely endangered,50000.0,38.1863,23.6096
507,Buryat (Cis-Baikal),buriato (cisbaikálico),Russian Federation,RUS,Severely endangered,50000.0,52.7961,104.8809
458,Buryat (Manchuria),buriato (Manchuria),"China, Mongolia","CHN, MNG",Definitely endangered,50000.0,49.8096,119.7509
2261,Cuona Menba,monpa de Cuona,"Bhutan, China, India","BTN, CHN, IND",Vulnerable,50000.0,26.8279,95.3623
2229,Eastern Cham,chamo oriental,Viet Nam,VNM,Definitely endangered,50000.0,10.7833,108.0833
1232,Hmar,hmar,India,IND,Vulnerable,50000.0,24.577,93.3178
1422,Huzhu Monguor,monguor de Huzhu,China,CHN,Severely endangered,50000.0,36.7608,102.4255
1159,Paite,chin paite,India,IND,Vulnerable,50000.0,24.1968,93.3563
1929,Quichua (Imbabura),quichua (Imbabura),Ecuador,ECU,Definitely endangered,50000.0,0.1757,-78.2006
1949,Soqotri,soqotrí,Yemen,YEM,Severely endangered,50000.0,12.5331,53.767
462,Southern Altay,altái meridional,Russian Federation,RUS,Definitely endangered,50000.0,51.069,86.5942
1475,Transylvanian Saxon,sajón de Transilvania,Romania,ROU,Severely endangered,50000.0,46.214,24.2413
1986,Turoyo,turoyo,"Syrian Arab Republic, Turkey","SYR, TUR",Severely endangered,50000.0,37.405,41.3745
422,Võro-Seto,vorû setu,"Estonia, Russian Federation","EST, RUS",Definitely endangered,50000.0,57.8096,27.29
687,West Greenlandic,groenlandés occidental,Greenland (Kingdom of Denmark),GRL,Vulnerable,50000.0,64.1681,-51.7236
1494,Western Armenian (Turkey),armenio occidental (Turquía),Turkey,TUR,Definitely endangered,50000.0,41.0213,28.9324
122,Zaramo,zalamo / saramo,United Republic of Tanzania,TZA,Definitely endangered,50000.0,-6.922,39.2409
2180,Zenatiya,zenatiya,Algeria,DZA,Critically endangered,50000.0,35.5702,1.8099
915,Papantla Totonac,totonaco papantla,Mexico,MEX,Definitely endangered,49748.0,20.4477,-97.32
1108,Wancho,wancho,India,IND,Vulnerable,49000.0,26.9759,95.4656
1213,Bhumji,bhumji,India,IND,Vulnerable,47000.0,21.8003,86.8139
2241,Cosung (China),cosung (China),China,CHN,Definitely endangered,47000.0,22.6833,102.6666
2240,Cosung (Viet Nam),cosung (Vietnam),Viet Nam,VNM,Definitely endangered,47000.0,22.6166,102.75
2249,Baheng (China),baheng (China),China,CHN,Vulnerable,45000.0,26.19,110.24
60,Lumun,lomón,Sudan,SDN,Definitely endangered,45000.0,10.8387,30.0338
1931,Quichua (Loja),quichua (Loja),Ecuador,ECU,Severely endangered,45000.0,-3.6236,-79.2388
1025,Chamling,chamlingo,Nepal,NPL,Definitely endangered,44093.0,27.0499,86.7329
362,Irish,irlandés,"Ireland, United Kingdom of Great Britain and Northern Ireland","IRL, GBR",Definitely endangered,44000.0,53.7876,-9.1845
1329,Reshe,reshe,Nigeria,NGA,Vulnerable,44000.0,10.8791,4.6115
927,Sierra Otomí,otomí de la Sierra,Mexico,MEX,Vulnerable,43468.0,20.1021,-97.622
134,Phuthi,suací,Lesotho,LSO,Definitely endangered,43000.0,-29.3791,28.2838
704,Rarotongan,rarotongano,Cook Islands,COK,Vulnerable,43000.0,-21.2343,-159.7837
1804,Khalaj,jalái,Iran (Islamic Republic of),IRN,Vulnerable,42100.0,34.3751,50.3063
