id,name_in_english,name_in_spanish,countries,country_code,degree_of_endangerment,number_of_speakers,latitude,longitude
877,Tewa (New Mexico),tehua (Nuevo México),United States of America,USA,Severely endangered,1600.0,36.053,-106.0708
1377,ǁGana,ganakue,Botswana,BWA,Vulnerable,1550.0,-21.7824,21.8971
1761,Akwáwa,assuriní do Tocantins,Brazil,BRA,Vulnerable,1548.0,-5.2441,-52.7014
1017,Northern Cuicatec,cuicateco septentrional,Mexico,MEX,Vulnerable,1503.0,17.9511,-96.7384
1284,Chiquihuitlán Mazatec,mazateco de San Juan Chiquihuillán,Mexico,MEX,Definitely endangered,1502.0,17.9953,-96.7449
1955,Apinajé,apinayé,Brazil,BRA,Vulnerable,1500.0,-6.0317,-47.5604
1848,Bashkarik,bascarí,Pakistan,PAK,Severely endangered,1500.0,35.2893,72.6168
434,Chintang,chintán,Nepal,NPL,Severely endangered,1500.0,26.9367,87.1991
473,Forest Nenets,néncico de los bosques,Russian Federation,RUS,Severely endangered,1500.0,64.9188,77.7941
2000,Hupda (Colombia),hupdé macú (Colombia),Colombia,COL,Definitely endangered,1500.0,0.3845,-70.1367
2291,Jah Hut,jah het,Malaysia,MYS,Severely endangered,1500.0,3.6452,102.3065
15,Jeri,jeri,Côte d'Ivoire,CIV,Severely endangered,1500.0,9.2647,-5.8666
1645,Jonkor Bourmataguil,jonjor,Chad,TCD,Severely endangered,1500.0,11.4261,19.0145
90,K'emant,kemant,Ethiopia,ETH,Severely endangered,1500.0,12.9349,37.2326
1184,Kanashi,kanashi,India,IND,Definitely endangered,1500.0,32.0406,77.1075
1869,Karajá,karajá,Brazil,BRA,Vulnerable,1500.0,-11.0921,-50.3393
1518,Karelian (Tikhvin),carelio (Tijvin),Russian Federation,RUS,Severely endangered,1500.0,59.601,33.3544
1412,Kendem,kendem,Cameroon,CMR,Severely endangered,1500.0,5.7061,9.6377
1221,Khamba,khamba,"China, India","CHN, IND",Definitely endangered,1500.0,29.0105,94.7653
1226,Lishpa,lishpa,India,IND,Definitely endangered,1500.0,27.3327,92.384
1812,Mayoruna (Brazil),matsés (Brasil),Brazil,BRA,Vulnerable,1500.0,-3.3379,-64.8413
786,Mescalero-Chiricahua Apache (New Mexico),apache mescalero-chiricahua (Nuevo México),United States of America,USA,Definitely endangered,1500.0,33.1514,-105.7942
2403,Numao Bunu,bunú bunao,China,CHN,Definitely endangered,1500.0,24.3902,107.2701
2282,Orang Seletar,orang seletar,Malaysia,MYS,Severely endangered,1500.0,1.3387,103.464
1909,Palenque Creole,palenquero,Colombia,COL,Definitely endangered,1500.0,10.0952,-75.1142
2257,Pong,pong,Lao People's Democratic Republic,LAO,Definitely endangered,1500.0,18.4666,105.05
2032,Pyuma,pyuma,China,CHN,Vulnerable,1500.0,22.8027,121.0748
2039,Saaroa,saaroa,China,CHN,Critically endangered,1500.0,23.1283,120.7062
2317,Saluan,saluan,Indonesia,IDN,Vulnerable,1500.0,-0.8129,122.871
2295,Semaq Beri,semaq beri,Malaysia,MYS,Critically endangered,1500.0,4.0012,102.8443
1722,Talodi,talodí,Sudan,SDN,Critically endangered,1500.0,10.6902,30.3964
304,Wayana (Suriname),wayana (Surinam),Suriname,SUR,Vulnerable,1500.0,2.7455,-54.58
215,Wik Mungkan,wik mungkan,Australia,AUS,Vulnerable,1500.0,-12.9403,141.9873
2355,Natsilingmiutut,natsilingmiutut,Canada,CAN,Vulnerable,1455.0,68.643,-95.8863
635,Movima,movima,Bolivia (Plurinational State of),BOL,Severely endangered,1452.0,-13.7954,-65.4345
1661,Ngombe,engombé,Central African Republic,CAF,Definitely endangered,1450.0,3.9492,15.2352
589,Cinta Larga,cinta larga,Brazil,BRA,Vulnerable,1440.0,-11.4154,-59.7216
2234,Dupaninan Agta,agta de Cagayán oriental,Philippines,PHL,Vulnerable,1400.0,17.9682,122.0361
1724,Tese,tese,Sudan,SDN,Critically endangered,1400.0,11.2161,29.8471
1805,Bororo,borôro,Brazil,BRA,Definitely endangered,1390.0,-15.5172,-53.1024
2346,Puluwat,puluwat,Micronesia (Federated States of),FSM,Severely endangered,1364.0,7.5803,149.425
1757,Kanela Rankokamekra,canela ramkokomekra,Brazil,BRA,Vulnerable,1337.0,-6.075,-44.9121
1646,Saba,saba,Chad,TCD,Definitely endangered,1335.0,11.1487,18.0175
1807,Kurripako (Brazil),curripaco (Brasil),Brazil,BRA,Vulnerable,1332.0,0.7001,-68.3789
2253,Triw,trii,Lao People's Democratic Republic,LAO,Definitely endangered,1328.0,15.6833,107.2
1341,Guernsey French,francés de Guernesey,United Kingdom of Great Britain and Northern Ireland,GBR,Severely endangered,1327.0,49.4502,-2.5927
2344,Paafang,pááfango,Micronesia (Federated States of),FSM,Severely endangered,1318.0,7.6198,155.1571
442,Chɨlɨng,chulún,Nepal,NPL,Definitely endangered,1314.0,26.9483,87.2527
947,Zapotec of the Valleys north,zapoteco del valle septentrional,Mexico,MEX,Severely endangered,1303.0,17.0666,-96.65
343,Cypriot Arabic,árabe chipriota,Cyprus,CYP,Severely endangered,1300.0,35.3196,33.338
2067,Palikur (Brazil),palikur (Brasil),Brazil,BRA,Vulnerable,1300.0,4.0396,-51.7236
1196,Sanenyo,chaura,India,IND,Critically endangered,1300.0,7.9504,93.576
1287,Tecóatl Mazatec,mazateco de Tecóatl,Mexico,MEX,Vulnerable,1300.0,18.1653,-96.9124
1833,Xinka,xinka,Guatemala,GTM,Critically endangered,1283.0,14.3447,-90.2603
920,Ozomatlán Totonac,totonacano de Ozumatlán,Mexico,MEX,Critically endangered,1276.0,20.1766,-98.0527
1126,Kāgate,kagate,Nepal,NPL,Definitely endangered,1273.0,27.5449,86.2925
628,Maxakali,maxacalí,Brazil,BRA,Vulnerable,1271.0,-16.5519,-40.3417
2688,Murik,múrico,Papua New Guinea,PNG,Vulnerable,1256.0,-3.8368,144.2807
1580,Pengo,pengo,India,IND,Critically endangered,1254.0,19.0621,83.4851
1809,Marúbo,marúbu,Brazil,BRA,Vulnerable,1252.0,-6.0968,-70.2246
1968,Aivilingmiutut,aivilingmiutut,Canada,CAN,Vulnerable,1245.0,64.1657,-83.243
1634,Besme,besme,Chad,TCD,Severely endangered,1228.0,9.6386,16.018
2605,Oirata,oirata,Indonesia,IDN,Definitely endangered,1221.0,-8.0755,127.1777
1093,Lohorung,lohorong,Nepal,NPL,Severely endangered,1207.0,27.4266,87.2498
1709,Harakmbut,harakambeto,Peru,PER,Definitely endangered,1206.0,-12.9403,-70.2685
2416,Buyang,buyán,China,CHN,Severely endangered,1200.0,23.4146,105.7632
2279,Dakka,dakka,Indonesia,IDN,Vulnerable,1200.0,-3.316,119.2071
2289,Mah Meri,besisi,Malaysia,MYS,Severely endangered,1200.0,2.836,101.4299
588,Manjui,manjui,"Argentina, Bolivia (Plurinational State of), Paraguay","ARG, BOL, PRY",Definitely endangered,1200.0,-23.1201,-62.7539
2613,Te'un (Seram Island),teun (isla Seram),Indonesia,IDN,Definitely endangered,1200.0,-3.1843,128.9465
2034,Tsou,tsou,China,CHN,Vulnerable,1200.0,23.5174,120.8564
2614,Ujir,ujir,Indonesia,IDN,Definitely endangered,1200.0,-5.6105,134.2776
2420,White Gelao (China),gelao blanco (China),China,CHN,Severely endangered,1200.0,26.4894,105.021
2252,Dakkang,dakkang,Lao People's Democratic Republic,LAO,Definitely endangered,1198.0,15.6333,107.25
2359,Northern Algonquin,algonquino septentrional,Canada,CAN,Vulnerable,1180.0,48.0616,-77.3521
1923,Akawaio (Brazil),akawaio (Brasil),Brazil,BRA,Vulnerable,1170.0,4.1711,-60.249
1272,Huehuetlán Mazatec,mazateco de Huehuetlán,Mexico,MEX,Vulnerable,1169.0,18.1964,-96.9471
1697,Trio (Brazil),trió (Brasil),Brazil,BRA,Vulnerable,1156.0,1.7136,-55.2392
2636,Savo,savo,Solomon Islands,SLB,Definitely endangered,1147.0,-9.1292,159.8071
1830,Tektitek,tectiteco,Guatemala,GTM,Definitely endangered,1144.0,15.3073,-92.0609
2493,Fwâi,fwâi,New Caledonia (France),NCL,Vulnerable,1131.0,-20.7048,164.9034
1855,Waimirí-Atroarí,atroarí,Brazil,BRA,Vulnerable,1120.0,-1.0985,-60.8203
1913,Guayabero,guayabero,Colombia,COL,Definitely endangered,1118.0,2.6028,-72.3999
2502,Fagauvea (Northern),uveano (septentrional),New Caledonia (France),NCL,Vulnerable,1107.0,-20.4089,166.5444
2503,Fagauvea (Southern),uveano (meridional),New Caledonia (France),NCL,Vulnerable,1107.0,-20.7381,166.4126
1649,Fania,fanya,Chad,TCD,Severely endangered,1100.0,10.0581,18.3993
1642,Ubi,ubi,Chad,TCD,Severely endangered,1100.0,12.1534,18.6946
1731,Warnang,warnango,Sudan,SDN,Severely endangered,1100.0,10.6538,30.6298
1788,Itzá,itzá,Guatemala,GTM,Critically endangered,1094.0,16.9838,-89.899
974,Mixtec of the southwest of Puebla,Mixteco del sureste de Puebla,Mexico,MEX,Definitely endangered,1074.0,18.6333,-98.0666
