country,country_long,region,continent,latitude,longitude,rural_land,urban_land,population,rural_population,urban_population,democracy_score,democracy_type
Sweden,Kingdom of Sweden,Northern Europe,Europe,62.0,15.0,411134.0,4064.23,10486941,1206837,9280104,9.39,Full democracy
Switzerland,Switzerland,Western Europe,Europe,47.0,8.0,34763.6,4016.82,8769741,2272064,6497677,9.03,Full democracy
Syrian Arab Republic,Syrian Arab Republic,Western Asia,Asia,35.0,38.0,180423.0,5092.25,22125249,9564966,12560283,1.43,Authoritarian
Tajikistan,Republic of Tajikistan,Central Asia,Asia,39.0,71.0,134045.0,3745.36,9952787,7169192,2783595,1.93,Authoritarian
Tanzania,United Republic of Tanzania,Eastern Africa,Africa,-6.0,35.0,880726.0,5282.87,65497748,41471864,24025884,5.41,Hybrid regime
Thailand,Kingdom of Thailand,South-Eastern Asia,Asia,15.0,100.0,491892.0,19506.7,71697030,33777188,37919842,4.63,Hybrid regime
The Bahamas,Commonwealth of The Bahamas,Caribbean,Americas,24.25,-76.0,12279.9,203.744,409984,67680,342304,0.0,Unknown
The Gambia,Republic of The Gambia,Western Africa,Africa,13.46666666,-16.56666666,10197.8,338.749,2705992,978162,1727830,4.31,Hybrid regime
Timor-Leste,Democratic Republic of Timor-Leste,South-Eastern Asia,Asia,-8.83333333,125.91666666,14909.7,74.4718,1341296,911089,430207,7.19,Flawed democracy
Togo,Republic of Togo,Western Africa,Africa,8.0,1.16666666,56198.5,895.221,8848699,4962262,3886437,3.1,Authoritarian
Tonga,Kingdom of Tonga,Polynesia,Oceania,-20.0,-175.0,701.786,29.6473,106858,82147,24711,0.0,Unknown
Trinidad and Tobago,Republic of Trinidad and Tobago,Caribbean,Americas,11.0,-61.0,4364.44,812.961,1531044,714385,816659,7.16,Flawed democracy
Tunisia,Republic of Tunisia,Northern Africa,Africa,34.0,9.0,151133.0,2877.95,12356117,3680393,8675724,6.41,Flawed democracy
Turkey,Republic of Turkey,Western Asia,Asia,39.0,35.0,754925.0,15460.7,85341241,19609710,65731531,4.37,Hybrid regime
Turkmenistan,Turkmenistan,Central Asia,Asia,40.0,60.0,463258.0,2004.62,6430770,2990694,3440076,1.72,Authoritarian
Tuvalu,Tuvalu,Polynesia,Oceania,-8.0,178.0,39.0978,0.0,11312,3900,7412,0.0,Unknown
Uganda,Republic of Uganda,Eastern Africa,Africa,1.0,32.0,201995.0,3854.12,47249585,34889566,12360019,5.2,Hybrid regime
Ukraine,Ukraine,Eastern Europe,Europe,49.0,32.0,569710.0,16271.3,38000000,11430780,26569220,5.69,Hybrid regime
United Arab Emirates,United Arab Emirates,Western Asia,Asia,24.0,54.0,77233.3,2263.1,9441129,1176081,8265048,2.76,Authoritarian
United Kingdom,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,54.0,-2.0,218903.0,22676.0,66971411,10448880,56522531,8.53,Full democracy
United States,United States of America,Northern America,Americas,38.0,-97.0,8903100.0,186573.0,333287557,56378923,276908634,7.96,Flawed democracy
Uruguay,Oriental Republic of Uruguay,South America,Americas,-33.0,-56.0,173707.0,1017.87,3422794,147591,3275203,8.38,Full democracy
Uzbekistan,Republic of Uzbekistan,Central Asia,Asia,41.0,64.0,412602.0,15432.2,35648100,17657930,17990170,2.01,Authoritarian
Vanuatu,Republic of Vanuatu,Melanesia,Oceania,-16.0,167.0,12337.6,27.9429,326740,242389,84351,0.0,Unknown
Venezuela,República Bolivariana de Venezuela,South America,Americas,8.0,-66.0,899029.0,6248.97,28301696,3289223,25012473,3.16,Authoritarian
Vietnam,Socialist Republic of Vietnam,South-Eastern Asia,Asia,16.16666666,107.83333333,297627.0,28615.4,98186856,60123739,38063117,3.08,Authoritarian
West Bank and Gaza,West Bank and Gaza,Western Asia,Asia,31.9,35.2,4390.87,1629.72,5043612,1145354,3898258,4.39,Hybrid regime
Yemen,Republic of Yemen,Western Asia,Asia,15.0,48.0,452881.0,1795.36,33696614,20491585,13205029,1.95,Authoritarian
Zambia,Republic of Zambia,Eastern Africa,Africa,-15.0,30.0,740140.0,2079.14,20017675,10857387,9160288,5.61,Hybrid regime
Zimbabwe,Republic of Zimbabwe,Eastern Africa,Africa,-20.0,30.0,386236.0,2024.49,16320537,11033499,5287038,3.16,Authoritarian
